,origin_crs,Count
0,AAP,1357
1,ABW,1333
2,ABY,1130
3,ACB,1355
4,ACC,1332
5,ACG,1733
6,ACK,697
7,ACL,1592
8,ACR,1160
9,ACT,1638
10,ADC,1090
11,ADD,1732
12,ADK,1130
13,ADL,1168
14,ADM,1190
15,ADV,1618
16,AFK,1243
17,AFS,1621
18,AFV,1174
19,AGT,1310
20,AHD,1282
21,AHN,1161
22,AHS,1294
23,AHT,1701
24,AHV,1694
25,AIG,1142
26,AIN,1138
27,ALB,1732
28,ALD,1148
29,ALF,1664
30,ALK,1713
31,ALM,697
32,ALN,1352
33,ALP,1587
34,ALR,1655
35,ALT,1123
36,ALV,1727
37,ALW,813
38,AMB,1660
39,AML,1362
40,AMR,1556
41,AMT,1672
42,AMY,1299
43,ANC,1713
44,ANF,1591
45,ANG,1249
46,ANS,1113
47,ANZ,1333
48,AON,1635
49,APB,1132
50,APD,1194
51,APF,1683
52,APG,1575
53,APN,378
54,APP,861
55,APS,1331
56,APY,1340
57,ARL,1666
58,ARN,1129
59,ARR,1377
60,ARU,1249
61,ASC,1718
62,ASG,1223
63,ASH,1697
64,ASK,1093
65,ASN,1640
66,ASP,1002
67,AST,1733
68,ASY,1107
69,ATB,1662
70,ATH,1735
71,ATL,1628
72,ATN,1137
73,AUD,1699
74,AUG,1149
75,AUW,1682
76,AVF,1580
77,AVN,1618
78,AVP,1661
79,AWK,1659
80,AWM,1666
81,AWT,1009
82,AXM,1232
83,AYH,1190
84,AYL,1249
85,AYP,1333
86,AYS,1661
87,BAA,1256
88,BAB,1284
89,BAC,1697
90,BAD,1326
91,BAG,1662
92,BAH,1142
93,BAK,1356
94,BAL,1351
95,BAM,1392
96,BAN,1688
97,BAR,1144
98,BAS,562
99,BAT,1241
100,BAU,1590
101,BAV,1590
102,BAW,1679
103,BAY,1353
104,BBK,1732
105,BBL,1298
106,BBN,1160
107,BBS,1733
108,BBW,1391
109,BCB,1138
110,BCC,1604
111,BCE,1666
112,BCF,1622
113,BCH,1160
114,BCJ,1148
115,BCS,1685
116,BCU,1440
117,BCV,1346
118,BCY,1341
119,BDA,1616
120,BDB,1127
121,BDH,1462
122,BDI,1339
123,BDK,1613
124,BDL,1113
125,BDM,1665
126,BDN,1071
127,BDQ,1339
128,BDS,15
129,BDT,926
130,BDW,1672
131,BDY,1145
132,BEB,1136
133,BEC,1333
134,BEE,1662
135,BEF,1255
136,BEG,1242
137,BEH,1736
138,BEM,910
139,BEN,1143
140,BEP,1735
141,BER,1728
142,BES,1101
143,BET,1346
144,BEU,1591
145,BEV,1415
146,BEX,1262
147,BEY,1111
148,BFD,1351
149,BFE,562
150,BFN,1661
151,BFR,1430
152,BGA,1616
153,BGE,1142
154,BGG,1671
155,BGH,1389
156,BGL,526
157,BGM,1332
158,BHI,1731
159,BHK,1340
160,BHM,1732
161,BHO,1341
162,BHS,1391
163,BIA,830
164,BIC,1350
165,BID,1143
166,BIF,1094
167,BIG,1301
168,BIK,1332
169,BIL,813
170,BIN,1600
171,BIP,1262
172,BIS,1410
173,BIT,1683
174,BIW,1666
175,BIY,1067
176,BKA,1282
177,BKC,1143
178,BKD,1734
179,BKG,1343
180,BKH,1341
181,BKJ,1333
182,BKL,1332
183,BKM,1331
184,BKN,1143
185,BKO,1625
186,BKP,1143
187,BKQ,1143
188,BKS,1190
189,BKT,1733
190,BKW,1737
191,BLB,1352
192,BLD,1111
193,BLE,1410
194,BLK,1123
195,BLL,732
196,BLM,1327
197,BLN,1142
198,BLO,772
199,BLP,1711
200,BLV,1129
201,BLW,1662
202,BLX,1727
203,BLY,1575
204,BMB,1174
205,BMC,1123
206,BMD,1337
207,BME,1756
208,BMF,1453
209,BMG,1247
210,BMH,1298
211,BML,1142
212,BMN,1331
213,BMO,1732
214,BMP,1009
215,BMR,1136
216,BMS,1333
217,BMT,1630
218,BMV,1750
219,BMY,1704
220,BNA,1131
221,BNC,1151
222,BND,1628
223,BNE,1675
224,BNH,1333
225,BNI,1359
226,BNM,1672
227,BNP,842
228,BNR,765
229,BNS,1359
230,BNT,1145
231,BNW,1142
232,BNY,1625
233,BOA,1580
234,BOC,1068
235,BOD,569
236,BOE,1544
237,BOG,1256
238,BOH,1454
239,BOM,1136
240,BON,1123
241,BOP,1357
242,BOT,1142
243,BPB,1173
244,BPK,1348
245,BPN,1172
246,BPS,1173
247,BPW,1636
248,BRE,1352
249,BRF,1151
250,BRG,1296
251,BRI,1636
252,BRK,1250
253,BRP,1604
254,BRS,1386
255,BRT,1180
256,BRU,1570
257,BRV,1733
258,BRW,1142
259,BRX,1344
260,BSB,1662
261,BSC,1733
262,BSD,1244
263,BSE,1644
264,BSH,1297
265,BSJ,1661
266,BSK,1684
267,BSM,1289
268,BSN,1713
269,BSO,1256
270,BSP,1331
271,BSR,1159
272,BSV,1174
273,BSW,1732
274,BSY,1329
275,BTB,1591
276,BTD,1669
277,BTE,1603
278,BTF,1713
279,BTG,1727
280,BTH,1636
281,BTL,1344
282,BTN,1310
283,BTO,1577
284,BTP,1349
285,BTR,1349
286,BTT,817
287,BTY,1629
288,BUB,1151
289,BUC,1612
290,BUD,1099
291,BUE,1655
292,BUG,1313
293,BUH,1471
294,BUJ,1662
295,BUK,1755
296,BUL,1733
297,BUO,1607
298,BUT,1717
299,BUU,1352
300,BUW,1111
301,BUX,1033
302,BUY,1417
303,BVD,1333
304,BWB,1575
305,BWD,1100
306,BWK,636
307,BWN,1727
308,BWO,1280
309,BWS,1723
310,BWT,1356
311,BXB,1358
312,BXD,1281
313,BXH,1333
314,BXW,1576
315,BXY,1333
316,BYA,1592
317,BYB,1659
318,BYK,1659
319,BYM,1148
320,BYN,1142
321,BYS,1060
322,CAA,1737
323,CAK,1102
324,CAM,1663
325,CAO,1727
326,CAR,1009
327,CAS,1150
328,CAT,1328
329,CAU,537
330,CBB,527
331,CBE,1186
332,CBG,1687
333,CBH,1346
334,CBK,1189
335,CBN,562
336,CBP,1362
337,CBR,1305
338,CBW,1185
339,CBY,1682
340,CCH,1454
341,CDI,902
342,CDN,1340
343,CDS,1341
344,CDU,1718
345,CED,1557
346,CEF,1033
347,CEH,1732
348,CEL,1147
349,CES,1349
350,CET,1655
351,CEY,1045
352,CFB,1338
353,CFD,1462
354,CFH,1256
355,CFL,1067
356,CFN,1618
357,CFO,1555
358,CFR,1647
359,CFT,1341
360,CGM,1415
361,CHD,1667
362,CHE,1328
363,CHF,1373
364,CHG,1244
365,CHH,1262
366,CHI,1357
367,CHK,1351
368,CHL,1690
369,CHM,1352
370,CHN,1355
371,CHO,1687
372,CHP,1328
373,CHR,1337
374,CHT,697
375,CHU,1142
376,CHW,1354
377,CHX,1426
378,CHY,1640
379,CIL,1194
380,CIR,1354
381,CIT,1332
382,CKL,1002
383,CKN,1444
384,CLA,1663
385,CLC,1571
386,CLD,1331
387,CLE,1591
388,CLG,1611
389,CLH,1140
390,CLI,1126
391,CLJ,1357
392,CLK,1340
393,CLL,1262
394,CLM,1713
395,CLN,1669
396,CLP,1338
397,CLS,779
398,CLT,1647
399,CLV,1728
400,CLW,1546
401,CLY,1392
402,CMB,1687
403,CMD,1354
404,CME,1682
405,CMF,1660
406,CMR,1593
407,CNE,1151
408,CNF,1129
409,CNG,1090
410,CNL,1737
411,CNM,1718
412,CNN,1357
413,CNO,1532
414,CNP,1143
415,CNS,1659
416,CNY,1612
417,COB,1262
418,COE,537
419,COH,1282
420,COL,1655
421,COM,817
422,COO,1675
423,COP,902
424,COR,1703
425,COS,1732
426,COT,1415
427,COV,1737
428,CPK,1297
429,CPM,1688
430,CPN,842
431,CPT,1345
432,CPU,1697
433,CPY,1017
434,CRA,1734
435,CRB,732
436,CRD,1733
437,CRE,1401
438,CRG,1414
439,CRH,1341
440,CRI,1355
441,CRL,1174
442,CRM,697
443,CRN,1679
444,CRT,1194
445,CRV,1756
446,CRW,1323
447,CRY,1333
448,CSA,1416
449,CSB,1327
450,CSD,1593
451,CSG,1142
452,CSH,1327
453,CSK,562
454,CSL,1732
455,CSM,817
456,CSN,1349
457,CSO,1174
458,CSR,1130
459,CSS,1349
460,CST,1426
461,CSW,1195
462,CSY,1732
463,CTF,1340
464,CTH,1330
465,CTK,1429
466,CTL,1372
467,CTM,1249
468,CTN,1341
469,CTO,1662
470,CTR,1697
471,CTT,1736
472,CTW,1160
473,CUD,1117
474,CUF,1353
475,CUM,1683
476,CUS,31
477,CUX,1295
478,CWC,1655
479,CWD,1681
480,CWE,1587
481,CWH,1353
482,CWL,1748
483,CWN,1294
484,CWU,1241
485,CWX,32
486,CYP,1333
487,CYT,1160
488,DAN,1670
489,DAR,830
490,DAT,1558
491,DBD,1391
492,DBG,1600
493,DBR,1624
494,DBY,1711
495,DCH,1410
496,DCW,1387
497,DDG,1733
498,DDK,1325
499,DDP,1733
500,DEA,1160
501,DEN,1600
502,DEP,1340
503,DEW,1344
504,DFD,1260
505,DFI,1711
506,DGC,1620
507,DGT,1149
508,DHM,779
509,DHN,1389
510,DID,1687
511,DIG,902
512,DIS,1615
513,DKG,1575
514,DKT,1577
515,DLH,1247
516,DLJ,1354
517,DLK,1356
518,DLM,1117
519,DLS,1008
520,DLT,1094
521,DMH,1580
522,DMK,1338
523,DMP,1159
524,DMS,1294
525,DND,830
526,DNG,1300
527,DNM,1620
528,DNT,1017
529,DNY,817
530,DOC,602
531,DOD,1619
532,DON,1664
533,DOR,1668
534,DOT,772
535,DOW,1691
536,DPD,1577
537,DPT,602
538,DRF,1377
539,DRG,1362
540,DRI,1060
541,DRO,1671
542,DRT,1625
543,DSL,1141
544,DSM,1615
545,DSY,1140
546,DTG,1127
547,DTN,1041
548,DTW,1750
549,DUD,1733
550,DUL,1687
551,DUR,1249
552,DVC,1661
553,DVH,1033
554,DVN,1142
555,DVP,1159
556,DWL,887
557,DWN,1160
558,DWW,887
559,DYP,1352
560,DZY,1733
561,EAD,1394
562,EAG,827
563,EAL,1406
564,EAR,1678
565,EBA,1173
566,EBD,1299
567,EBL,765
568,EBN,1255
569,EBR,1296
570,EBT,1278
571,ECC,1130
572,ECL,1145
573,ECR,1337
574,ECS,1628
575,EDG,1142
576,EDL,1392
577,EDN,1340
578,EDR,1338
579,EDW,1341
580,EDY,1130
581,EFF,1593
582,EFL,1245
583,EGF,1412
584,EGG,870
585,EGH,1641
586,EGN,1392
587,EGR,1294
588,EGT,813
589,ELD,1316
590,ELE,1340
591,ELO,1713
592,ELP,1136
593,ELR,1625
594,ELS,1367
595,ELW,1333
596,ELY,1700
597,EMD,1723
598,EML,1247
599,EMP,1324
600,EMS,1456
601,ENC,1351
602,ENF,1346
603,ENL,1333
604,ENT,1160
605,EPD,1326
606,EPH,1341
607,EPS,1262
608,ERA,1135
609,ERD,1733
610,ERH,1333
611,ERI,1294
612,ERL,1145
613,ESD,1332
614,ESH,1623
615,ESL,1647
616,ESM,1410
617,ESW,1630
618,ETC,1241
619,ETL,1255
620,EUS,1429
621,EVE,1748
622,EWD,1733
623,EWE,1261
624,EWR,1251
625,EWW,1261
626,EXC,1432
627,EXD,1432
628,EXM,902
629,EXN,902
630,EXR,1353
631,EXT,1432
632,EYN,1256
633,FAL,561
634,FAV,1245
635,FAZ,1142
636,FBY,1113
637,FCN,1333
638,FEA,1456
639,FEL,1655
640,FEN,1575
641,FFD,1580
642,FGT,1262
643,FIL,909
644,FIN,1682
645,FIT,1630
646,FKC,1158
647,FKW,1158
648,FLE,1682
649,FLF,1127
650,FLI,1129
651,FLM,1002
652,FLT,1625
653,FLW,1384
654,FLX,1624
655,FML,1663
656,FMR,1310
657,FMT,561
658,FNB,1683
659,FNC,1629
660,FNH,1698
661,FNN,1680
662,FNR,1299
663,FNT,1224
664,FNV,1033
665,FNW,1123
666,FNY,1354
667,FOD,1249
668,FOG,1336
669,FOH,1341
670,FOK,1733
671,FOX,1068
672,FPK,1360
673,FRD,1099
674,FRE,1113
675,FRF,1130
676,FRI,1647
677,FRM,1545
678,FRO,1580
679,FRT,1248
680,FRY,1453
681,FSB,1454
682,FSG,1310
683,FSK,1662
684,FST,1427
685,FTN,1416
686,FWY,1733
687,FXN,1651
688,FZH,1340
689,FZP,1675
690,FZW,1459
691,GBD,1453
692,GBK,1117
693,GBL,1680
694,GBS,1249
695,GCR,1718
696,GCT,1591
697,GDH,1351
698,GDL,1127
699,GDN,1297
700,GDP,1330
701,GER,1623
702,GFD,1364
703,GGV,1045
704,GIG,1017
705,GIL,1535
706,GIP,1347
707,GLD,1691
708,GLH,1462
709,GLM,1249
710,GLO,1127
711,GLS,813
712,GLY,1310
713,GLZ,1099
714,GMB,1591
715,GMD,1591
716,GMN,1607
717,GMT,813
718,GMV,1748
719,GMY,1330
720,GNB,1680
721,GNF,1165
722,GNH,1263
723,GNL,1141
724,GNR,1068
725,GNT,1593
726,GNW,1340
727,GOB,1748
728,GOD,1629
729,GOE,1669
730,GOM,1578
731,GOO,1546
732,GOR,1684
733,GOS,1102
734,GOX,1590
735,GPK,1351
736,GPO,1354
737,GRA,1713
738,GRB,1655
739,GRC,1699
740,GRF,1414
741,GRN,1392
742,GRP,1332
743,GRT,1618
744,GRV,1303
745,GRY,1256
746,GSD,1017
747,GSL,562
748,GSN,1295
749,GST,1136
750,GSW,1146
751,GSY,1111
752,GTA,817
753,GTO,1130
754,GTR,1359
755,GTW,1325
756,GTY,1131
757,GUI,1132
758,GUN,1351
759,GVH,1733
760,GYM,1592
761,GYP,813
762,HAB,1591
763,HAC,1346
764,HAD,1612
765,HAF,1279
766,HAG,1734
767,HAI,1249
768,HAL,1126
769,HAM,1280
770,HAN,1362
771,HAP,1349
772,HAS,1604
773,HAT,1358
774,HAV,1462
775,HAY,1361
776,HAZ,1142
777,HBB,1713
778,HBD,1340
779,HBN,1244
780,HBP,1069
781,HBY,1732
782,HCB,1349
783,HCH,1359
784,HCN,1245
785,HCT,1152
786,HDB,732
787,HDE,1544
788,HDF,1127
789,HDG,1131
790,HDH,1354
791,HDL,1339
792,HDM,1657
793,HDN,1326
794,HDW,1353
795,HDY,1417
796,HEC,1713
797,HED,1141
798,HEI,830
799,HEL,1406
800,HEN,1355
801,HER,1623
802,HES,1418
803,HEV,1294
804,HEW,768
805,HEX,732
806,HFD,1750
807,HFE,1336
808,HFN,1351
809,HFS,1659
810,HFX,1340
811,HGD,1672
812,HGF,1141
813,HGG,1354
814,HGM,1295
815,HGN,1141
816,HGR,1341
817,HGS,1247
818,HGT,1069
819,HGY,1357
820,HHB,1142
821,HHE,1313
822,HHY,1359
823,HIA,1730
824,HIB,1248
825,HID,1122
826,HIG,1356
827,HIL,1113
828,HIN,1143
829,HIP,1354
830,HIR,1017
831,HIT,1613
832,HKC,1331
833,HKM,1692
834,HKN,1658
835,HKW,1332
836,HLB,1297
837,HLD,1017
838,HLG,1733
839,HLI,1591
840,HLM,1577
841,HLN,1625
842,HLR,1142
843,HLS,1416
844,HMC,1385
845,HMD,1255
846,HME,1607
847,HML,1331
848,HMM,1372
849,HMN,1332
850,HMP,1384
851,HMT,1194
852,HMW,1384
853,HNA,1337
854,HNB,1196
855,HND,1682
856,HNF,1727
857,HNH,1339
858,HNK,1732
859,HNL,1733
860,HNX,1141
861,HOC,1353
862,HOH,591
863,HOK,1691
864,HOL,1280
865,HON,1225
866,HOO,1136
867,HOP,1392
868,HOR,1322
869,HOT,1668
870,HOU,1655
871,HOV,1310
872,HOW,1413
873,HOX,1354
874,HOY,1391
875,HPA,1341
876,HPD,1315
877,HPL,832
878,HPN,1152
879,HPQ,1661
880,HPT,1756
881,HRD,1628
882,HRE,810
883,HRH,1262
884,HRM,1244
885,HRN,1357
886,HRO,1329
887,HRR,1002
888,HRS,1417
889,HRW,1339
890,HRY,1341
891,HSB,1697
892,HSC,1137
893,HSD,1733
894,HSG,1392
895,HSK,1311
896,HSL,1629
897,HSW,1698
898,HSY,1663
899,HTC,1142
900,HTE,1338
901,HTF,1400
902,HTH,1148
903,HTN,1732
904,HTO,1142
905,HTY,1127
906,HUB,909
907,HUD,1389
908,HUL,1445
909,HUN,1689
910,HUP,1130
911,HUR,1294
912,HUT,1377
913,HUY,1142
914,HVN,1699
915,HWC,1661
916,HWH,732
917,HWI,1122
918,HWM,1358
919,HWN,1359
920,HWV,1280
921,HWW,1280
922,HWY,1626
923,HXM,1616
924,HXX,1280
925,HYB,1747
926,HYC,1145
927,HYD,1683
928,HYH,1655
929,HYK,1143
930,HYL,562
931,HYR,1394
932,HYS,1338
933,HYT,1145
934,HYW,1611
935,IFD,1330
936,IFI,1323
937,ILK,1111
938,ILN,1664
939,IMW,1332
940,INC,1141
941,INE,1136
942,INT,1345
943,IPS,1624
944,IRL,1099
945,ISL,1351
946,ISP,1683
947,IVR,1672
948,IVY,619
949,JCH,809
950,JEQ,1733
951,KBF,1068
952,KBK,1102
953,KBN,1326
954,KBW,1610
955,KBX,1647
956,KCK,1331
957,KDB,1333
958,KDG,1223
959,KEI,1067
960,KEL,1349
961,KEM,1710
962,KEN,1099
963,KET,1703
964,KEY,602
965,KGL,1297
966,KGM,1682
967,KGN,870
968,KGS,1686
969,KGX,1429
970,KID,1734
971,KIR,1142
972,KIT,1672
973,KIV,1670
974,KKB,1657
975,KKD,1142
976,KKM,1174
977,KKS,1659
978,KLD,817
979,KLF,1411
980,KLN,1692
981,KLY,1340
982,KMH,1660
983,KML,1246
984,KMP,1369
985,KMS,1296
986,KNA,1069
987,KND,1328
988,KNE,1644
989,KNF,1126
990,KNG,1384
991,KNI,1756
992,KNL,1326
993,KNN,1733
994,KNO,1462
995,KNR,1331
996,KNT,1339
997,KNW,1732
998,KPA,1336
999,KSL,1123
1000,KSN,1159
1001,KSW,861
1002,KTH,1333
1003,KTL,1671
1004,KTN,1356
1005,KTW,1354
1006,KVP,1670
1007,KWB,1351
1008,KWG,1351
1009,KYN,1630
1010,LAC,1251
1011,LAD,1341
1012,LAG,1681
1013,LAI,1256
1014,LAK,1456
1015,LAN,1144
1016,LAP,870
1017,LAW,1727
1018,LAY,1174
1019,LBG,1431
1020,LBK,1699
1021,LBO,1723
1022,LBZ,1545
1023,LCK,1391
1024,LCN,1695
1025,LDS,1419
1026,LEA,1313
1027,LEB,1192
1028,LED,1748
1029,LEE,1333
1030,LEG,1145
1031,LEH,1730
1032,LEI,1730
1033,LEL,526
1034,LEM,1341
1035,LEN,1244
1036,LEO,1763
1037,LER,1341
1038,LES,1354
1039,LET,1613
1040,LEW,1340
1041,LEY,1174
1042,LFD,1293
1043,LGD,1592
1044,LGE,1711
1045,LGF,1299
1046,LGG,1733
1047,LGJ,1335
1048,LGK,817
1049,LGM,1664
1050,LGN,1181
1051,LGW,1008
1052,LHD,1284
1053,LHM,817
1054,LHO,1140
1055,LHS,1325
1056,LIC,1733
1057,LID,1660
1058,LIH,1298
1059,LIP,1629
1060,LIS,1533
1061,LIT,1249
1062,LIV,1212
1063,LKE,1067
1064,LMR,1340
1065,LMS,1732
1066,LNG,1641
1067,LNY,1672
1068,LOB,1733
1069,LOF,1346
1070,LOH,1174
1071,LOO,537
1072,LOS,569
1073,LOT,1123
1074,LOW,1662
1075,LPR,1017
1076,LPT,1181
1077,LPW,1733
1078,LPY,1226
1079,LRB,1310
1080,LRD,1690
1081,LSK,569
1082,LST,1427
1083,LSW,1143
1084,LSY,1340
1085,LTG,1117
1086,LTK,1657
1087,LTL,1151
1088,LTM,1174
1089,LTN,1315
1090,LTP,1700
1091,LTS,526
1092,LTT,1136
1093,LTV,1733
1094,LUD,1763
1095,LUT,1319
1096,LUX,526
1097,LVC,1156
1098,LVJ,1156
1099,LVM,1130
1100,LVN,1262
1101,LWH,1630
1102,LWS,1310
1103,LWT,1612
1104,LYC,902
1105,LYD,1699
1106,LYE,1732
1107,LYM,902
1108,LYP,1440
1109,LYT,1440
1110,LZB,1008
1111,MAC,1104
1112,MAG,1138
1113,MAI,1675
1114,MAL,1350
1115,MAN,1148
1116,MAO,1666
1117,MAR,1160
1118,MAS,770
1119,MAT,1660
1120,MAU,1131
1121,MBK,1592
1122,MBR,813
1123,MCB,1310
1124,MCE,772
1125,MCH,1691
1126,MCM,1144
1127,MCO,1148
1128,MCV,1148
1129,MDB,1227
1130,MDE,1243
1131,MDG,1672
1132,MDL,1142
1133,MDN,1532
1134,MDS,1350
1135,MDW,1227
1136,MEC,1112
1137,MEL,1651
1138,MEN,569
1139,MEO,1143
1140,MEP,1303
1141,MES,1624
1142,MEX,1670
1143,MFT,1658
1144,MGM,1693
1145,MGN,1730
1146,MHM,1316
1147,MHR,1703
1148,MHS,1672
1149,MIA,1135
1150,MIC,1685
1151,MIH,1151
1152,MIJ,1350
1153,MIK,1414
1154,MIL,1367
1155,MIM,1748
1156,MIR,1389
1157,MIS,1668
1158,MKC,1575
1159,MKM,1685
1160,MKR,1695
1161,MKT,1655
1162,MLB,1660
1163,MLD,1694
1164,MLF,1629
1165,MLH,1160
1166,MLM,1068
1167,MLT,949
1168,MLW,1675
1169,MLY,1415
1170,MMO,1729
1171,MNE,1691
1172,MNG,1668
1173,MNN,1111
1174,MNP,1338
1175,MNR,1143
1176,MOB,1125
1177,MOG,1427
1178,MOR,1704
