,Station CRS,Number,Max distance,Mean distance,Median distance
0,AND,271,122318.37975136851,31436.002660049486,23557.92931282289
0,ANZ,694,69192.89860961167,27053.969178514744,22597.46873463233
0,ANG,173,107683.44021250436,49979.25108910972,51757.50362024815
0,ANN,214,156914.06884024135,108481.3447509991,114295.14617469237
0,AFV,255,86770.4475152687,42750.56967000823,40984.91313886123
0,ANL,265,126876.04850404193,31850.87909944898,23735.2179367684
0,APP,74,132082.71650749768,76451.50466575932,85310.9505333097
0,APD,216,165341.38031660434,66813.6827422913,54407.440313176834
0,APY,267,96681.38185297106,46457.5211807142,51997.66533951857
0,APB,332,85639.8499356462,36345.511712567226,34912.40199869461
0,APF,89,81428.76480703855,39455.82981542827,37471.2054783403
0,APS,479,85209.65715222659,38961.49295032055,38391.946043408636
0,ARB,48,96582.7452188019,56541.626357427915,62585.8969736793
0,ART,160,87166.07561431224,49135.49218622105,49591.94084896216
0,ARD,32,97129.77888371825,42505.37058248803,40911.37974940469
0,AUI,161,94565.98298542664,55961.053595025485,58416.16635090552
0,ADS,242,150022.83692824902,53114.62863748121,43886.08148832615
0,ASB,246,148772.2178432519,52107.92666038982,42834.03504908806
0,ADN,246,149518.47277176156,52724.52778499865,43540.257395339046
0,ADK,417,84733.82895868686,40273.66828656194,42782.53832192617
0,AGS,270,121296.00910582342,31083.919098593207,23966.503708300883
0,ARG,15,72132.46495164296,37578.705008230354,42203.93684179979
0,ARL,281,111237.14443026664,52089.47922225994,54546.024832246025
0,ARM,268,111454.89715575535,42054.20873388698,38089.37564794904
0,AWT,91,145089.4855770052,72513.76587532507,69938.13998813523
0,ARN,158,108670.07575225114,59383.75941719388,62382.71774558381
0,ARR,51,66284.68620277235,35684.76242432662,35613.36434542516
0,ARU,173,110098.90479473445,49617.904921916444,50160.270433880236
0,ACT,552,87323.58065265075,38473.4087357189,40221.78669576974
0,AUW,45,61177.1213771946,36716.375575641854,34908.50339950633
0,AFS,601,78904.10585641282,29869.99702399126,28945.134599790686
0,ASF,262,124005.53410634543,30603.410453732675,23065.95768659953
0,ABY,419,83434.33515046428,40521.18478662929,42746.73620929192
0,ASC,112,105326.35472663051,68759.73788559213,71731.43094906166
0,AHD,686,98394.3354975275,34305.344930725536,29387.371437404876
0,AFK,237,170923.09191270793,67714.04493260066,56658.717896270726
0,ASH,528,76059.18275921718,43405.20094909616,45511.16656997385
