,Station CRS,Number,Max distance,Mean distance,Median distance,Reachable Population
0,ABA,93,37767.97585256589,21542.968880978024,21559.264389120515,541809.0
0,AUR,33,23541.96986235434,13672.76604790304,13360.014970051494,0.0
0,AVY,18,32824.71325084197,17662.351397568455,16929.559947027567,42922.0
0,ABE,94,41420.66392514731,15260.27540580211,14837.420902189991,534294.0
0,AGL,12,27037.02470687187,16324.423100830236,16577.87899129851,71270.0
0,ACY,95,33966.191308417256,15707.390438891649,15193.721630989558,535302.0
0,ABD,6,38007.18317634181,18152.66705868818,19982.656967634433,0.0
0,ABH,13,21475.567512873786,16136.793350136493,19192.967462067976,28366.0
0,AGV,2,17813.758727455584,15511.612515036784,15511.612515036784,13687.0
0,AYW,6,25381.859663941097,16725.128875838865,14988.745778082968,21266.0
0,ABW,369,37661.98838351475,19215.188357372295,17916.56342605914,2798477.0
0,ACB,22,31213.690906395546,21104.898449105356,22728.187345232793,170515.0
0,AAT,8,40323.382794601945,24323.38960686665,28828.33060818107,0.0
0,ACH,10,35018.750820096364,23390.72584347987,25181.80195147486,0.0
0,AUK,147,52457.72821996774,40119.65714560893,41459.968644464745,0.0
0,ACN,7,38276.38958940616,23633.41426299515,23263.821053300766,0.0
0,ACK,6,25788.301611389612,16377.05034769065,15294.358750467123,49822.0
0,ACL,19,29875.92264684055,13200.710189902598,12559.326838903511,104364.0
0,ACG,108,40062.4465803076,15894.682089866403,14691.449347401394,793911.0
0,ACR,29,25738.192419049166,12047.374249056353,10067.746768766088,207096.0
0,ACC,382,35654.14421915074,15688.661499255095,15538.701600834702,2882630.0
0,AML,316,29224.54875613993,14665.501746648928,14744.68717877731,2421241.0
0,ADD,111,41867.82757679218,16017.63789026968,13926.874200623772,824054.0
0,ADW,53,40813.26114144764,24806.22452491201,25834.188587993238,0.0
0,ADM,17,22886.16044687269,11815.770934788447,12769.426964433447,120620.0
0,ADC,25,27521.006522291296,11379.287726969684,7805.1585505997255,192839.0
0,ASN,122,38344.73867429533,16757.392616514844,16615.367286180568,899646.0
0,ADL,25,28925.971513503224,15479.79618546759,13342.122207505072,215611.0
0,AWK,78,56897.387022604125,26645.03337880774,25958.344144212773,600100.0
0,AUG,102,39793.73223260166,18451.801606155637,17692.438535322188,641986.0
0,AIG,119,31887.396413003054,13983.628538795414,12250.637738501617,775392.0
0,ANS,107,46382.12885368674,22942.114214380705,23296.38735941691,669985.0
0,AIN,120,37387.44876292042,14874.846285255497,13912.927074825197,778523.0
0,AIR,180,58976.47721761618,24748.26315680455,20428.991916203835,0.0
0,ADR,175,57847.082899658824,23884.96044608742,20238.225440981725,0.0
0,APN,12,21906.90347812762,13449.414615210253,11543.538796053055,92169.0
0,AYP,367,39386.550052016486,20166.71326642675,19925.554551364337,2796384.0
0,ALB,56,35603.05885735101,24516.545217143306,27109.009856980498,456332.0
0,ALD,50,30058.757426081338,13966.583760625792,12379.288051811638,375635.0
0,AMT,21,26113.5864254606,14720.011185015912,13131.42063906263,128062.0
0,AHT,55,31990.64863362417,17196.353159166585,18049.856398320735,407283.0
0,AGT,29,25551.03913738148,11585.5450841827,13634.155712767842,238870.0
0,LPY,126,35039.41098249227,15197.632748504473,13711.315764725134,825342.0
0,AAP,359,35248.152079222535,16247.017416020171,16044.789605811799,2732070.0
0,ALF,10,31513.8701050823,18021.72081445335,15922.505837631412,94374.0
0,ALW,29,26849.541150641664,14735.006301038837,13628.435897049962,191750.0
0,ALO,15,85211.86331726352,21510.454959285515,14023.916179156235,0.0
0,ASS,9,27710.28689855087,19061.31923219522,18257.077642084834,0.0
0,ALM,5,25810.068771702256,18561.76067030908,16905.6026216163,46989.0
0,ALR,27,36405.527739616686,17718.300775404303,17034.844319805215,217344.0
0,ASG,20,28027.930712059355,16648.16977740163,16393.878124264756,140137.0
0,AYH,18,24131.193464062235,11774.92905333135,11987.79595266869,140966.0
0,ALN,13,29319.46919710519,13186.228914726678,10105.86225910486,107119.0
0,ABC,7,36102.183451974204,21831.056910579617,20379.646709401026,0.0
0,AON,11,28632.76362840304,20326.10988197174,21737.209250499476,65594.0
0,ALP,6,36533.490457387175,16299.245911406033,15505.75280792794,41385.0
0,ALT,106,32960.224468289045,17006.33825574998,17373.20019455253,763944.0
0,ALV,94,51989.95469319049,19941.989488606803,17329.304444833746,729424.0
0,ALX,174,53658.97967721712,26421.476574012893,25565.318852282406,0.0
0,AXP,188,52114.96016500444,18147.915240358394,12782.239832018695,0.0
0,AMB,31,44282.01930806679,22344.278127330246,23443.588142603086,233763.0
0,AMR,47,51187.58492056448,33889.30019948941,40123.84679251584,322339.0
0,AMY,22,26162.365814276047,15583.422735646367,15070.342236017346,189556.0
0,AMF,24,57064.61250197008,24142.971809908253,18799.97616849866,120239.0
0,ANC,10,28578.69704867596,17021.286594428286,17164.46882349887,81300.0
0,ADV,4,26998.289464334586,16303.1056368568,14057.753494210065,28264.0
0,AND,188,51270.61272307949,17323.7145652852,12687.243839621664,0.0
0,ANZ,411,34909.363357128124,15255.682561951864,15302.621507441136,3041898.0
0,ANG,28,29700.510770018755,16221.567457625122,16857.80386092386,219042.0
0,ANN,4,103941.60545710269,41051.52794149153,23745.10541463423,9398.0
0,AFV,19,23202.524776411727,12809.488860501828,11902.437943547531,154797.0
0,ANL,184,51673.012772626294,17730.57817873325,14053.687451903163,0.0
0,APP,6,34100.53115422105,25447.09093189176,27075.511481755926,26508.0
0,APD,12,25770.866419272752,16819.231460488863,17821.230665178584,73407.0
0,APY,75,45845.43441827114,19923.041174818198,21856.20441141219,561465.0
0,APB,138,53213.1461670892,29277.490721310496,29657.579823714543,972806.0
0,APF,13,22540.930992308193,12056.079877170803,12810.529809496562,85997.0
0,APS,21,19571.784435763642,10395.612518233382,8718.556445723878,136408.0
0,ARB,9,31034.461490414167,18134.65279408736,18062.40551532381,0.0
0,ART,17,35330.58165385903,25348.701037309937,25713.43034291613,0.0
0,ARD,7,24710.786066007695,14232.079341777035,15288.691472317272,0.0
0,AUI,10,33160.36791110738,20935.09284692583,21162.214151838365,0.0
0,ADS,160,55822.19092798132,37250.1295209728,39628.20076857341,0.0
0,ASB,166,55811.76221908783,36745.98343084835,38725.38448649222,0.0
0,ADN,164,56542.332813565445,37124.68453410098,39337.292719315235,0.0
0,ADK,106,35533.07733647622,13780.63979690107,12794.378531214403,768934.0
0,AGS,188,50859.97433149175,17432.195741151914,12410.018893592402,0.0
0,ARG,7,34076.67824187093,15199.489309737946,10848.414614837944,0.0
0,ARL,16,29371.12399960206,16791.577302002508,17609.936791535503,134599.0
0,ARM,107,71376.89279451719,31518.224698330054,33466.38653933227,0.0
0,AWT,7,31438.874423235957,15099.676071798258,14380.814441470275,58925.0
0,ARN,13,25831.058824601056,14308.314072018151,14975.633542525004,82195.0
0,ARR,13,26492.401269043166,16786.19943806513,18599.519483040414,91226.0
0,ARU,28,30663.51664437724,16943.769577686635,17824.454284563057,215081.0
0,ACT,59,25803.4571327177,15100.904860089915,14233.696954761963,404982.0
0,AUW,10,23893.550782585666,13076.457363089674,13134.278168420009,61836.0
0,AFS,228,39808.232176272286,19854.123919204972,20286.235424136812,1717929.0
0,ASF,188,53492.27714352792,18253.62862041252,13381.595159804448,0.0
0,ABY,108,36774.47235515419,14144.128916715847,12978.269568783044,783127.0
0,ASC,4,35720.98122952392,20540.894040060724,17567.51057071976,34467.0
0,AHD,238,36571.74455778668,18115.730180203027,18873.913876035356,1731316.0
0,AFK,22,27024.84209019546,17350.518782522817,17574.013201315174,133870.0
0,ASH,57,28945.75519830153,15828.649544577298,16779.716445756763,428564.0
0,ASY,70,26676.150321963625,14725.319505687343,15294.014548181913,500080.0
0,AHN,104,42547.207017617504,16302.393319721505,15202.006446518828,766534.0
0,AHS,33,37525.74418982254,23111.132526448855,25199.013810068045,221944.0
0,AHV,52,28321.886466123688,15592.372626132927,15333.887599939684,393874.0
0,AWM,15,28317.417714191386,14762.78802425551,13628.12276140775,131829.0
0,ASK,14,29369.31407098232,12243.726440760494,8071.0976485395695,59506.0
0,ALK,15,30007.507393983928,18024.141332178104,19495.26547492484,128840.0
0,APG,14,16532.627679833597,8929.555776926207,8531.46793234638,97009.0
0,ASP,15,41593.21609349294,27241.512474597665,28214.000070886792,82757.0
