,0,1
0,,
1,EUS,0.4107012017556109
2,MYB,0.40960474545801767
3,STP,0.40976102349901644
4,PAD,0.410496704869076
5,EAL,0.5207363688870863
6,BFR,0.40960474545801756
7,CTK,0.40976102349901644
8,CST,0.4107012017556109
9,CHX,0.4107012017556109
10,LBG,0.40960474545801756
11,WAE,0.4107012017556109
12,VIC,0.4107012017556109
13,VXH,0.4107012017556109
14,WAT,0.4107012017556109
15,MOG,0.4107012017556109
16,KGX,0.3668426613566515
17,LST,0.4107012017556109
18,FST,0.4107012017556109
19,HOH,0.005574277244280038
20,WHD,0.31789307310544723
21,SRU,0.33803763471978115
22,NWX,0.3340206255672507
23,NXG,0.33142075384048114
24,WIM,0.30922922813102355
25,FPK,0.9037161869387603
26,TOM,0.3152608191245797
27,SRA,0.31909581985238383
28,BKG,0.300409052883221
29,RMD,0.3379960056390832
30,GFD,0.3906923638612405
31,RIC,0.16049555012423833
32,UPM,0.3296701685490446
33,CET,0.4107197302120824
34,COL,0.4107197302120824
35,CFB,0.33339181521390304
36,CTF,0.33300860623089856
37,EBT,0.3315732804164147
38,EBR,0.3292830582186037
39,FNB,0.2241779240953616
40,FNN,0.2261178064141294
41,PNE,0.33335727821011746
42,PNW,0.33348559125022914
43,ENC,0.3219623757538821
44,ENF,0.3233359778936746
45,WHP,0.32298035491548754
46,POT,0.809994971028303
47,PFM,0.8200919915603506
48,TNN,0.7005517539950401
49,TNS,0.7005517539950401
50,AER,0.0
51,LTR,0.0
52,ECP,-0.4118309665707856
53,RDG,0.21167511130370192
54,RDW,0.21167511130370192
55,HLC,1.6547885153525164
56,HLU,1.6547885153525164
57,BSJ,0.08229913576991879
58,BDM,0.08229913576991879
59,SOV,0.4751026492092654
60,SOC,0.47473942088418186
61,HFN,0.49015186580343945
62,HFE,0.4942255152875634
63,GBL,0.8092511241708007
64,GNB,0.8092511241708007
65,DKT,0.36542107659661477
66,DKG,0.35889344843076826
67,DPD,0.36542107659661477
68,BSW,-0.0010655334736874298
69,BHM,-0.0010659451945041558
70,BMO,-0.0010655334736874298
71,BDI,0.7139393836179976
72,BDQ,0.7139393836179976
73,CBW,0.3323039338857853
74,CBE,0.33217612468044455
75,DCH,0.3886833668561136
76,DCW,0.3911779800037188
77,FKG,0.8465325822893337
78,FKK,0.8468574221136966
79,FKW,0.33516586823918876
80,FKC,0.33516586823918876
81,GLC,0.2725806226788679
82,GLQ,0.2727909472334041
83,MRF,0.011921378111641462
84,LVC,0.011921378111641462
85,LVJ,0.011921378111641462
86,LIV,0.08893935165095121
87,MDE,0.3213745495510621
88,MDW,0.32348314366235814
89,MDB,0.32348314366235814
90,DGT,0.09556457465067054
91,MCO,0.09563831274839484
92,MAN,0.06936783404476413
93,MCV,0.09563831274839484
94,PMS,0.2314059945202867
95,PMH,0.2314059945202867
96,NCT,0.782186385070289
97,NNG,0.782186385070289
98,TYL,0.2964308051335131
99,UTY,0.2964308051335131
100,WKK,0.8112186654335829
101,WKF,0.802778886324459
102,WBQ,0.09469359492369246
103,WAC,0.0055418164492670825
104,WGN,0.008746891300427318
105,WGW,0.008746891300427318
106,WOS,0.007938871857204547
107,WOF,0.007938871857204547
108,ECR,0.32415855663803483
109,WCY,0.3311313862926305
110,ZAW,0.0
111,AMR,0.15483611354148194
112,CFO,0.15489807277059017
113,ZCM,0.15489807277059017
114,CLW,0.16062318078040075
115,ZCO,0.1608150078275111
116,ZFD,-0.001789949433928517
117,ZGF,0.0
118,ZHI,0.0
119,ZMP,0.0
120,ZNH,
121,ZND,
122,ZNS,
123,ZPI,
124,ZSV,0.0
125,ZSR,0.0
126,ZTT,0.0
127,ZWT,0.1608150078275111
128,ZWR,0.0
129,ZHJ,0.7020470925544586
130,OLD,0.4280927105821617
131,QPW,0.32343942823939764
132,KTN,0.3180152456931126
133,KPA,0.322447663032071
134,BRX,0.3316234128937974
135,EPH,0.3311626584864557
136,HHY,0.3758945858344769
137,BAL,0.3301470291536456
138,SVS,0.31610829444480704
139,WEH,0.3194064937888785
140,ARM,0.30782214503756317
141,BKR,0.30782214503756317
142,CAC,0.30782214503756317
143,RGP,0.1818401294902565
144,BSC,-0.0010651220708018361
145,AST,-0.0010655334736874298
146,TAB,-0.0010651220708018361
147,WTT,-0.0010655334736874298
148,CAO,-0.0005489143035558278
149,LAW,-0.0005489143035558278
150,BWN,-0.0005489143035558278
151,HGG,0.38500315178211014
152,HOX,0.38500315178211014
153,SDC,0.38764548265828935
154,COV,0.013710146838764533
155,HIA,-0.01682400791910372
156,MGN,-0.01682400791910372
157,THL,0.013710146838764533
158,ADD,-0.0010655334736874298
159,ROE,0.3344298188621349
160,DUD,-0.0010651220708018361
161,ERD,-0.0010651220708018361
162,FOK,-0.0010655334736874298
163,SCF,-0.016817504630383538
164,SUT,-0.0010651220708018361
165,BKW,0.013710146838764533
166,WNE,-0.0005421139812293407
167,LBK,0.0025059199197196404
168,NMP,0.0025068811471533644
169,ATH,0.00019439698861189317
170,NUN,0.00019417173138291068
171,PSW,-0.0005446432844077047
172,SDE,0.3851134875760964
173,SQE,0.3339139224967479
174,RGL,-0.0005198580353669012
175,WPE,0.3851134875760964
176,RUG,-0.0006634348032542281
177,AVP,0.12099657708087695
178,BTG,-0.0005489143035558278
179,JEQ,-0.0010651220708018361
180,SLY,-0.0010651220708018361
181,KNN,-0.0010651220708018361
182,LOB,-0.0010651220708018361
183,NFD,-0.0010651220708018361
184,BRV,-0.0010651220708018361
185,SGB,-0.0010651220708018361
186,WTO,-0.0010663572336207018
