,Station CRS,Number,Max distance,Mean distance,Median distance,Reachable Population
0,ALO,464,275724.56913557777,82113.58683975357,54013.09031151615,277835.0
0,ASS,313,291541.9153398015,173608.14287200512,200887.28207629273,0.0
0,ALM,523,214356.9180712393,152458.83340917816,163882.6023028363,1542731.0
0,ALR,1080,255691.2186309886,104134.2275026004,95259.97480579134,7915248.0
0,ASG,982,278376.67610631464,96710.56989229085,83351.86740559567,6451686.0
0,AYH,973,286516.48511385865,108057.19070310539,100352.95349910806,7139481.0
0,ALN,1016,213411.91886115453,80889.60576178717,71623.87575182752,7379091.0
0,ABC,120,325283.3584200089,145058.03906361276,147810.61751079842,0.0
0,AON,1058,217886.09573123293,83037.72301197625,74950.7634250646,7609314.0
0,ALP,789,210442.52920928318,107986.85794263722,113215.61216041252,5390793.0
0,ALT,1027,312007.2765770055,106168.34073867119,92869.11818750572,6169791.0
0,ALV,978,215014.02861208847,112900.2600387391,124059.74690043503,6608409.0
0,ALX,483,294095.1716706685,98927.98603993193,65023.576490021005,612195.0
0,AXP,752,329958.355816306,157717.02998733486,169751.70499291015,2245364.0
0,AMB,862,227427.25565771575,92845.52725057954,86163.45592378758,6100485.0
0,AMR,1078,290694.9550301828,79208.69265248664,68212.93788808482,7989920.0
0,AMY,1139,225927.9800024778,94687.99902623841,79255.84437755994,8180007.0
0,AMF,498,268868.88203174423,134167.36706664096,136651.15398608247,3235110.0
0,ANC,828,206655.39088056717,115930.25820140712,117292.47186840253,6019012.0
0,ADV,1240,258084.74876288214,109718.95704967338,105021.25916293141,8784480.0
0,AND,752,331639.2793382593,158539.9630179513,170494.2744639831,2245364.0
0,ANZ,1179,261592.76370916684,69977.51447245124,47412.7018635302,8436401.0
0,ANG,1189,252687.1942699115,106092.0112787753,87030.83261120738,8510668.0
0,ANN,894,242097.79620021328,145890.85560244418,148233.35285960443,3627127.0
0,AFV,964,293849.3690736803,118108.50929179779,108196.75002974905,5578466.0
0,ANL,527,302686.4677203129,104772.0627693443,68944.31580882346,855388.0
0,APP,863,227986.3618728103,134342.6860367044,134447.86582273446,4526257.0
0,APD,991,269816.33442955225,95945.75926132758,87668.33410123753,7280452.0
0,APY,1049,308971.19561052934,127849.53187545964,100471.73700598592,5948304.0
0,APB,1050,311469.70964284794,114286.40046518846,110954.42126179661,6195821.0
0,APF,1209,189398.29703563862,93072.95994756097,87083.8292796085,8818062.0
0,APS,1139,253108.77345718382,72950.72297502188,58545.02456229735,8476492.0
0,ARB,387,311999.43014371034,122335.55197282942,128781.40393705918,90658.0
0,ART,375,175816.48991206713,67952.61012886546,58470.444452875505,7173.0
0,ARD,177,264607.25684115314,153753.3426552548,182923.48076723228,0.0
0,AUI,375,178822.44580868477,73389.77365368411,65098.45818943622,7173.0
0,ADS,473,305095.38669734093,107572.51150526215,82297.86632798713,589347.0
0,ASB,477,304264.18586813664,106700.58975859164,81790.98656335601,589347.0
0,ADN,477,304682.62609476113,107222.84390836662,82081.02400132961,589347.0
0,ADK,1047,307620.81334656145,105464.40068818521,92862.3024724474,6329445.0
0,AGS,752,330720.8449735214,158080.2639897616,169841.9651470154,2245364.0
0,ARG,277,212660.4100438067,145911.57647720783,154028.12275685242,0.0
0,ARL,1125,170104.9159342551,84721.32543734505,76317.30552109396,8187784.0
0,ARM,482,262477.35621382657,88001.12843213978,58916.991988729365,511807.0
0,AWT,930,242739.5810843382,145723.4424189442,149789.51740692672,4543872.0
0,ARN,1033,244663.98345486,134126.4095538471,121912.08799786837,5577588.0
0,ARR,499,206648.320583546,105583.98948845656,109344.00132151741,3404591.0
0,ARU,1189,248261.31205848407,103883.43691369034,85477.90054160198,8515501.0
0,ACT,1115,209354.4577242147,68445.63525497857,56335.17943234429,8084489.0
0,AUW,1354,288204.7295101175,120245.40341734338,111776.4947267156,9815366.0
0,AFS,1133,224100.39102598638,63278.344133621235,48672.44805303634,8196143.0
0,ASF,527,299703.8839554803,103562.50888245046,66409.73048557492,855388.0
