,Station CRS,Number,Max distance,Mean distance,Median distance
0,ABA,1390,340744.51313557493,177530.0440598016,191673.29730559757
0,AUR,1007,378504.46721273975,197359.32718611354,220582.47738657755
0,AVY,2004,403192.85215886455,222352.44011110385,224513.24237113498
0,ABE,1391,338033.91220408643,174620.33224463597,194809.38394284714
0,AGL,2285,411927.8952838713,225453.59436649116,237761.865373739
0,ACY,1392,332039.3560197345,175175.78529131343,190802.04658231526
0,ABD,708,427905.4957733074,232166.35424622567,199190.1107811329
0,ABH,1920,437413.6459919832,241901.7344822132,230838.28806778265
0,AGV,1593,316973.0367476073,168680.5362628243,178214.3262170581
0,AYW,1995,400285.5556124902,222675.90593472388,226167.957500615
0,ABW,1566,381221.72380518925,109074.9626736921,77492.42780814756
0,ACB,1834,404194.0339057468,173916.83325979486,177915.9659435863
0,AAT,457,392460.586414738,190320.3021088977,198934.29501219743
0,ACH,430,352758.6339127648,183103.00102727447,193389.14266318054
0,AUK,1219,402576.30046986125,211941.31468929787,241386.66548506776
0,ACN,457,392909.11748138396,191000.34498234268,198124.4541115508
0,ACK,1084,382834.72465281934,193303.38591275658,194777.06462774306
0,ACL,1623,387316.9761319532,200659.0890651755,191913.54500433063
0,ACG,2231,448884.64553824964,156688.12213159486,153084.31136468556
0,ACR,1786,448743.8245814643,180253.38952943805,167814.97403883393
0,ACC,1399,246821.00204399138,84109.44801526058,67300.41968665575
0,AML,1498,357413.84206546895,96711.00013060244,73913.17626106998
0,ADD,2230,444424.2757771002,157398.87542599492,155145.28937459004
0,ADW,1033,360393.545585933,187663.48799031728,227798.77309810076
0,ADM,1427,445680.17067960295,158488.8804754707,119688.89634381294
0,ADC,1700,439190.721668844,162348.2023356824,151268.66826940732
0,ASN,1810,424224.36805303866,133028.80792104144,100831.70634775552
0,ADL,1797,450700.8655693929,180893.7452123528,167091.94512303697
0,AWK,1702,315594.6930003735,163317.65706688358,170128.87024317044
0,AUG,1800,422889.34223978734,180713.1503086662,174996.22030546068
0,AIG,1787,430006.2008855221,177793.11877036514,180972.1347296183
0,ANS,1749,423455.61962737015,181570.91983794418,175539.2488647482
0,AIN,1781,418117.9894778506,179974.8782557568,178542.56858902026
0,AIR,1079,417087.37227588176,203047.72078167647,244037.7834209285
0,ADR,952,372729.44611339737,182094.4081869574,214409.60804204716
0,APN,595,313373.5925520847,173773.9381846869,183098.11348472218
0,AYP,1564,384951.6445282446,110529.46068043794,76393.91746075076
0,ALB,2338,417461.88448767393,176898.81383734327,178540.2341445025
0,ALD,1756,420855.7528857126,167655.64961357255,159015.70116302295
0,AMT,1938,378572.7407645722,138875.93809185585,122419.8648300185
0,AHT,1652,402945.73542475916,126905.24296362152,94588.55103023833
0,AGT,1636,410355.4447207932,148961.34611301072,108291.74335357788
0,LPY,1881,430506.0407497205,182752.39782044283,187508.44052359386
0,AAP,1493,360681.8856346961,97612.65588001211,76561.9186905567
0,ALF,1944,399671.4963566954,165790.17775062207,174269.29013741922
0,ALW,1189,343191.6209495797,167523.63000771453,164736.53318253363
0,ALO,799,372478.228222805,176665.14074712445,176558.98001342634
0,ASS,469,416016.89028211345,195484.434093566,204080.8110259267
0,ALM,1086,373986.53535254445,198034.62438706608,200790.24584127587
0,ALR,1792,414166.204379353,171580.7125486137,143218.36601986515
0,ASG,1807,412497.7985395801,166912.14693222547,167465.42681769212
0,AYH,1427,447114.9957326415,159564.64828204768,120985.27841435916
0,ALN,1370,409523.9255733418,121227.67886332487,87909.60137205775
0,ABC,436,395643.09421497554,251827.1326297841,279402.2600910737
0,AON,1584,408594.5644009475,130646.03464020301,98896.6843383346
0,ALP,1530,335010.74476052256,163153.7165108559,158377.7517067672
0,ALT,1765,435324.04465754016,172153.1052269024,160702.00917006098
0,ALV,2210,423716.78324088134,156702.01047144012,154068.50627237224
0,ALX,1005,452131.76102216047,217390.81933836162,259928.71527593868
0,AXP,1081,430452.2909429104,209879.6092241407,255492.22042559338
0,AMB,1796,362882.15718053706,149019.59316935405,162636.1971559946
0,AMR,1709,470280.5515700176,132360.02523780777,116320.50796276667
0,AMY,1610,387685.8145044773,138745.78361941568,107222.46578026454
0,AMF,1176,325789.2232717344,179671.60841587218,189396.66825426806
0,ANC,1987,392922.5387083312,160872.43980693482,164933.12235051295
0,ADV,1649,360075.22402131476,134791.4823232566,119845.37266411248
0,AND,1081,431587.76178779674,210910.5332514633,256910.22503006764
0,ANZ,1618,375566.80900340487,111070.76999385524,79344.68642574624
0,ANG,1602,396644.1493454807,144848.50704701152,112754.12057933015
0,ANN,1420,432242.2944645746,198320.77068816355,183222.81626339507
0,AFV,1768,438924.05979736405,187591.97676839994,180369.52513382077
0,ANL,969,429272.63561634114,192088.15645108905,232717.82782803726
0,APP,1379,361712.1409353023,179106.8676301003,170691.2289906656
0,APD,1435,450200.4490846272,148245.5489766289,107425.48867929354
0,APY,1449,326458.897412829,156812.5451809613,141778.3090803572
0,APB,1784,429540.27427588205,178752.05201071105,170495.04928506998
0,APF,2099,455284.1663928145,143547.9940003099,127123.91875277803
0,APS,1332,253108.77345718382,85506.97937119224,73883.00969947882
0,ARB,857,379397.37057602283,221667.97095175274,205784.61482822275
0,ART,899,420450.9956285037,210789.2323255437,239212.39181948747
0,ARD,436,354446.928320729,200439.36987233415,222896.19246635865
0,AUI,899,429978.109588151,217405.76033950492,246047.35342002768
0,ADS,954,388025.55341111234,197657.86929576757,237701.4856348576
0,ASB,958,387578.62738030334,196938.87306204214,236763.80868937427
0,ADN,958,387755.3767518898,197332.19241092444,237373.51171283133
0,ADK,1787,437255.0119381138,172944.81265055572,161055.639981964
0,AGS,1081,430823.7515794597,210342.76022245624,256063.31819493396
0,ARG,513,436357.6593804674,220363.48673615232,173325.17950372933
0,ARL,1867,327758.60694267054,132305.4311566644,119985.18436818087
0,ARM,952,367741.4120003348,181561.65002325477,208669.25995890464
0,AWT,1344,438519.4376866321,188216.95789309987,162070.27218154474
0,ARN,1694,399796.616919153,194573.02626225605,195161.10640327237
0,ARR,1056,328999.6164511442,150550.24105949647,156813.22114222383
0,ARU,1602,391334.19710651407,142138.6730456664,111257.85567060405
0,ACT,1785,415951.5375617693,130976.88729686523,104576.67162900146
0,AUW,2021,423483.0925515209,140832.31795778856,128706.90406448349
0,AFS,1822,418254.89307837153,132213.81530749943,103888.75028806884
0,ASF,969,427222.93566006026,190508.31384191563,229687.6922127087
0,ABY,1789,437980.7695652858,172825.159771704,161499.5756093495
0,ASC,2109,318071.9595390326,152023.58365617105,153461.9588041284
0,AHD,1477,368521.2851383214,100332.83368297663,71312.11101208546
0,AFK,1447,446471.4731536607,146451.500070153,105915.82692949584
0,ASH,1648,403674.8925521626,125492.20386539986,92116.48271617843
0,ASY,1747,438688.73931296665,173451.797438894,163947.39682371204
0,AHN,1777,443457.12882419646,174589.8210114691,162993.85078865534
0,AHS,1452,406781.0598798818,118641.582810378,77384.49700682948
0,AHV,1641,401092.5974734513,124899.80263144187,92971.87739665822
0,AWM,1658,279816.72927292966,119963.29972285607,106530.85198664283
0,ASK,1522,392623.4637206493,187281.69874748786,187619.5450984623
0,ALK,1987,380969.27280293877,154607.47703701886,163075.01773839953
0,APG,1604,372230.87456174294,114366.67491261598,103957.74355446716
0,ASP,1287,432293.7214267633,185113.63845551602,163057.96241258946
0,AST,2230,441833.8082356306,157707.0777324653,156394.130484491
0,ATT,428,350804.7233447691,179777.62684108785,188557.56484691883
0,ATN,1790,441627.58259080694,174834.72427100345,163141.90319166932
0,ATH,2122,351286.3504322364,147259.64037107982,150763.60868526995
