,Station CRS,Number,Max distance,Mean distance,Median distance
0,ABA,2333,494152.6940126908,208669.92916157393,212537.31369573672
0,AUR,1628,570892.6691874752,294448.00999209937,297254.4909138193
0,AVY,2540,484889.5603124489,246598.82516079684,264401.8527049321
0,ABE,2334,512180.43148874794,218084.88023761142,214322.8365107181
0,AGL,2585,503971.790822661,236597.9292057955,273856.5316694126
0,ACY,2335,503407.5044653188,218983.7847918242,217257.6619903938
0,ABD,1113,529396.854328584,279990.2740867152,236212.93466912434
0,ABH,2523,437413.6459919832,260204.76726324807,285744.6594333557
0,AGV,2364,489129.3949457546,205330.94343503853,197108.8399532541
0,AYW,2529,489549.02716684056,248055.25147236782,261285.0926756028
0,ABW,1992,544573.7545677352,151799.26451235433,133182.0290729947
0,ACB,2526,595344.5510794568,207164.47233039603,232613.51615898212
0,AAT,902,591758.5322485854,337156.94529698504,387008.7568515325
0,ACH,885,587265.3659973488,332307.6440010387,377239.0265136946
0,AUK,1809,556031.8841811141,287377.7253639943,272783.1653529961
0,ACN,902,591746.4683206821,337608.69036879,387539.75641347095
0,ACK,1778,496608.81290005316,268608.14424730104,238139.49693404493
0,ACL,2266,563882.9887485523,256798.8729407273,229318.51211797097
0,ACG,2525,568938.0451332113,183889.75415997213,158460.77360816806
0,ACR,1933,543179.7620723732,193162.00051470872,211089.99083900003
0,ACC,2044,532682.6715493944,146059.11217000018,135995.79505999442
0,AML,2077,531709.6284712174,147672.05052150963,137349.32102277316
0,ADD,2524,564468.970360639,184107.59991207285,160751.9455558781
0,ADW,1989,595408.1860790965,329992.9068590371,304961.85007308703
0,ADM,1750,459304.8872557313,186116.53180222062,150428.78918943673
0,ADC,1934,593027.2121918184,183064.9637799212,181581.71335517243
0,ASN,2340,562376.1599899128,169502.30154536583,159729.90014447639
0,ADL,1949,556935.908543344,193645.61341179837,212617.14706250763
0,AWK,2475,477170.09278662887,206252.1390625766,233949.36107064548
0,AUG,2003,561919.3635433825,196874.8671087625,211083.26930048133
0,AIG,2066,582850.3567812239,197151.71601477766,201220.61448999966
0,ANS,1995,556048.6705469225,200698.8370907513,214808.9419906255
0,AIN,2060,570592.2857215999,199827.1711687418,211639.2416080694
0,AIR,1891,584021.3104305356,310328.35749530076,299724.27435394685
0,ADR,1650,575903.5340506255,290187.8407446364,291460.3371626039
0,APN,1177,468437.8484388297,294587.2794218646,310257.98081596545
0,AYP,1990,550379.5390037679,153761.16920624694,137811.9051137754
0,ALB,2580,667165.9886415075,197515.48999619004,187359.61709881396
0,ALD,2163,593862.909885775,192308.6625554208,202988.1418033517
0,AMT,2473,639742.2485853189,192863.1400252368,158702.04578434976
0,AHT,2304,481446.1009625065,170027.57065403194,159900.739003101
0,AGT,1885,436834.9377648267,171402.99790236907,145028.01618227252
0,LPY,2125,583762.9910862799,199400.94655926735,205491.6696170431
0,AAP,2036,569419.1383550434,153668.40931216415,133186.43112945103
0,ALF,2488,519545.7527494571,188643.93849908857,194674.475866328
0,ALW,2122,471673.4731199116,243119.44462094494,241399.5583583847
0,ALO,1526,592684.2630245888,301296.62301393243,310481.4981894292
0,ASS,930,589389.3670571264,339264.2870587126,385088.97619817266
0,ALM,1780,505621.39059280313,274990.337559782,244827.64309815998
0,ALR,2432,605472.7837401116,231153.2694143617,217615.62189725408
0,ASG,2402,616636.7626082635,193748.29963536208,203889.41069118818
0,AYH,1750,460747.0325167597,187277.43721843613,151669.25045308293
0,ALN,2191,614267.8273497644,214636.9267975654,192270.20106350334
0,ABC,887,658277.3695031601,402273.7609806123,429445.0233557259
0,AON,2262,436336.6381980775,172720.73055536873,160804.39954491294
0,ALP,2445,472910.5064650182,212969.2197718557,230489.0613456526
0,ALT,1964,583701.2482400564,188140.01589262424,189870.24344868714
0,ALV,2512,575144.2177402116,185264.84138964818,159666.12978337015
0,ALX,1861,615738.9437561993,338709.632384979,332828.92212065944
0,AXP,1893,595480.9064890326,319939.0593374232,312225.422912677
0,AMB,2468,519524.09684248525,186275.70264120452,192852.06104680343
0,AMR,2384,683205.3916246563,192943.93825502507,168547.59086086042
0,AMY,1920,433296.6868428606,167186.26499122154,142959.02954343247
0,AMF,2219,479868.883133716,238918.22349018935,244710.83670324043
0,ANC,2493,553146.6630334129,200031.67148023986,175403.2514664423
0,ADV,2421,672912.7753795435,204508.8962445229,160607.1150079157
0,AND,1893,596147.8206099558,321074.91266757256,313524.28964914347
0,ANZ,1995,547686.5420603285,148253.37553628578,132153.37623382916
0,ANG,1852,396644.1493454807,166763.83790385938,140307.3893909252
0,ANN,1787,489016.9973528528,240038.33555188728,210271.89781736597
0,AFV,1953,540733.2706261008,202325.60361717924,221375.04791104558
0,ANL,1858,600290.197492013,323541.96606331045,315861.6232889524
0,APP,2132,404267.66406924016,244978.77238544595,233730.80669864637
0,APD,1797,450200.4490846272,181043.68518993392,147315.07779585905
0,APY,2480,437735.0865500731,215875.2189510169,263782.6566168588
0,APB,2032,560075.5790292949,196708.0878563352,219487.86427801626
0,APF,2477,667278.3852096514,185364.48148607073,148044.01449568977
0,APS,2143,535167.0538075004,154590.26964660207,131253.86908148986
0,ARB,1155,473893.55708745396,261660.30795074344,305358.4504693033
0,ART,1576,641733.0102604977,323386.16937662853,340772.4358693368
0,ARD,887,611231.4685419919,353472.33812018234,395036.4686873859
0,AUI,1576,651932.695036842,331190.50027842715,350023.80947742355
0,ADS,1734,587188.5308025012,307068.2684946208,302253.6821450407
0,ASB,1738,586787.3685382125,306458.063007213,301588.89694926806
0,ADN,1738,586936.2753025237,306762.9366637714,301906.21403521823
0,ADK,1964,575548.3471003978,188826.9098987485,192954.03395109417
0,AGS,1893,595462.8785222467,320409.26012475265,312951.72087719856
0,ARG,1173,694262.339540321,361661.67642376927,415240.34768890246
0,ARL,2494,579489.2215779341,189693.79791418204,155882.11530271568
0,ARM,1650,567783.5479405862,287473.71841862774,287675.1731157799
0,AWT,1915,490484.8309835891,246869.73808805647,219525.24653442483
0,ARN,1917,490284.46375548147,214265.2650662525,203643.73351892747
0,ARR,2387,429769.5211680326,230635.44912559452,257554.95635719784
0,ARU,1852,391334.19710651407,163854.03732428493,138243.55507943218
0,ACT,2286,554096.4988158651,165373.7258105225,147470.24544767046
0,AUW,2411,594171.3170601557,179339.41303991343,149474.109453778
0,AFS,2236,418254.89307837153,154918.06051644063,148947.26052532822
0,ASF,1858,598765.0863435509,321769.11920423474,314087.225542396
0,ABY,1966,575714.9132704485,188698.97850505475,192180.85003974772
0,ASC,2464,568974.1794668718,186039.54423443356,161164.35447348625
0,AHD,1935,392073.3363861919,139737.1871910275,122111.15018703247
0,AFK,1815,446471.4731536607,179650.46308500267,146827.548184937
0,ASH,2307,481514.7088636026,169807.85575408058,159207.82900661638
0,ASY,1946,587278.3389501098,189327.24296280742,189238.24151240327
0,AHN,2460,574480.4974931699,208564.93471637467,239353.90115893245
0,AHS,2012,604811.7124171787,176505.5069834725,164727.17311114335
0,AHV,2300,478936.5601548915,168832.31561182678,157791.1049768733
0,AWM,2503,584652.1586593176,194061.98630828055,163968.09110915835
0,ASK,1906,490338.101542191,219408.82347596172,202124.4689393147
0,ALK,2493,548574.2693564837,192452.49821793145,175397.55884846288
0,APG,2445,528320.3905179129,179394.995221176,152911.48603685727
0,ASP,1836,481315.04620154976,243466.01629473935,213003.06905065945
0,AST,2524,561878.602991785,184122.9376315831,162465.78864639645
0,ATT,876,561783.357960166,325118.32720805163,369495.7502963458
0,ATN,2038,567080.6942799235,192293.93907414167,212100.02365865026
0,ATH,2512,488807.57972846535,181272.50347072203,159941.22133303684
0,ATB,2491,542834.982775613,185146.29732751838,177901.06486471632
0,ATL,2280,586631.9809369415,233603.78593278784,200422.77114368524
0,AUD,2506,598845.4783164017,204402.76942824342,177649.8518618695
0,AVM,1122,572136.1966324103,314126.16605562007,385219.60789100133
0,AVF,2344,553463.6076563662,203535.21306413153,174896.47709430856
0,AVN,2342,528442.7200369023,204757.7663527526,188874.49764327635
0,AXM,1985,602053.6360865202,222686.57043333145,219974.33925425608
0,AYL,1982,492830.7055957451,170250.54067386704,147500.57282600633
0,AYS,2518,662805.3017749632,184215.7226232996,154699.894012806
0,AVP,2515,659672.9367815539,183749.42948719903,153913.42485956187
0,AYR,1809,563594.9243437169,296329.19466102624,283413.0843839077
0,BAC,2621,600292.8005773516,215749.75776697788,245300.91443979577
0,BNA,1966,581092.8346658561,188001.59075003685,188978.99523492024
0,BAG,2261,469090.366230218,161705.5762787877,149014.99827749966
0,BLD,2445,435910.9582529441,215108.5116601972,262081.275998116
