,Station CRS,Number,Max distance,Mean distance,Median distance
0,ABA,1274,340744.51313557493,175776.42786086834,190880.53855749674
0,AUR,888,341756.10791908315,182912.72352353923,199167.8513546479
0,AVY,1141,296081.2383451542,162508.4789032212,156452.74046816822
0,ABE,1275,338033.91220408643,171637.9342408752,193303.1942312387
0,AGL,1254,377858.6181364665,153456.05484367302,150239.94915054255
0,ACY,1276,332039.3560197345,172341.72767515678,187883.07420727875
0,ABD,411,378889.269508916,177707.16909367652,191708.27716350695
0,ABH,993,319401.5498177803,165509.02324298184,164297.57910571902
0,AGV,1410,312930.17437121656,162042.99148740195,174826.80037546155
0,AYW,1104,274028.07488467306,161350.53910196887,160596.0190197752
0,ABW,1361,302102.3569603521,88950.63901801482,64468.00097780816
0,ACB,1459,404194.0339057468,146689.25884820212,125390.41683429279
0,AAT,414,312098.46879470587,181176.1246571068,198424.43402464324
0,ACH,403,289787.6286179243,180461.2263630898,193363.9617405477
0,AUK,979,350471.59143074637,179612.38287357174,222274.1555107116
0,ACN,414,312745.77094662684,181836.88916114724,197419.17386616732
0,ACK,906,289267.54825420707,176938.70648450707,182612.85369889447
0,ACL,781,287375.7026959656,164264.31604234455,169471.04324928197
0,ACG,1988,282356.54022706824,143166.56788131356,149143.28504197588
0,ACR,1420,396522.86582869344,151190.66713639427,136767.1122756326
0,ACC,1251,245616.56042702007,71288.48198189754,55650.03745730995
0,AML,1295,282627.67740615923,76369.07159380324,58175.251129968725
0,ADD,1987,278178.1262231091,144030.77194922723,149578.24791726904
0,ADW,888,317262.6703537622,170332.2367644807,192092.46230608167
0,ADM,1239,332481.2620238921,139567.4910082451,108734.62777330872
0,ADC,1465,352757.5158660691,147131.38478552186,124932.30166774323
0,ASN,1365,340513.10480655514,88286.33351006922,64837.139790567264
0,ADL,1509,376710.96536336717,155969.69510195064,143299.85726353453
0,AWK,1079,315594.6930003735,117873.78248761382,115153.59968320573
0,AUG,1541,364669.3706976225,161225.29711536766,150798.59689489554
0,AIG,1520,357727.9172779223,158727.1424455862,144649.23090013303
0,ANS,1527,367265.1659183049,163352.36862722208,157380.97961634374
0,AIN,1514,360826.4081937463,160032.1829691327,150261.06338303347
0,AIR,911,341454.4317943465,173512.97855352698,203374.4463053311
0,ADR,849,322840.4559530915,166563.47916830235,190875.94162963546
0,APN,497,261733.58045921428,159739.98121404185,175146.97730227205
0,AYP,1359,305025.88877831335,89872.09211814079,63868.90049155379
0,ALB,1972,326330.2008702229,153816.64928699378,157075.72773665574
0,ALD,1410,420855.7528857126,139332.1872360096,119095.55085308602
0,AMT,1448,299640.1789480176,105507.78245228343,90450.47512313022
0,AHT,1309,267314.40595673106,91553.77103120602,68464.25622907182
0,AGT,1380,343998.0305350599,121206.86301025565,90293.64514557626
0,LPY,1620,358772.19474479905,165892.36692574064,156857.2791329749
0,AAP,1310,282953.0690786018,78793.36850906478,58204.219845755055
0,ALF,1106,306809.19151811604,111954.356818275,101266.31809646724
0,ALW,924,279865.73864087043,147953.6292703641,141547.86297553626
0,ALO,685,329556.0820634327,150868.519084921,131418.65940799168
0,ASS,417,308625.91696907114,180489.8864147182,202083.4728521855
0,ALM,908,281774.66603298456,181694.1635479023,188752.63176692702
0,ALR,1546,335601.93183144816,151669.93732333378,117054.12786399291
0,ASG,1492,370300.03888738656,146476.90028054727,127090.44869285366
0,AYH,1239,333470.0916918937,140597.4595640395,109704.83921869627
0,ALN,1228,311880.24253228994,102211.88976648469,78835.96933506939
0,ABC,408,372287.19290354324,249510.68262764168,279402.2600910737
0,AON,1288,260485.24087364337,100530.77375331869,82049.98572518685
0,ALP,992,291489.6520032915,125360.61209221948,129162.05886404877
0,ALT,1536,364531.8517180632,154912.72997258996,136532.61305434947
0,ALV,1974,291821.79974943615,144344.4217910566,149877.38858447009
0,ALX,851,356092.13695334527,184850.96120491836,208073.44496595426
0,AXP,915,354847.4152336466,179052.79868036415,205628.55206658438
0,AMB,1107,230527.64893825643,110518.26624572913,100934.55689294849
0,AMR,1503,320725.79267966584,116626.86647531779,99782.61734891504
0,AMY,1410,300527.78035981965,117364.84807186613,89561.39823048767
0,AMF,1011,325789.2232717344,172464.33559952647,182983.89024505985
0,ANC,1676,349805.3967922736,148499.71583464215,159381.31641698253
0,ADV,1405,278498.97236614715,117052.11422664151,109483.68844718377
0,AND,915,356005.3077202642,180014.87947155832,207172.58143876086
0,ANZ,1427,346860.9157861404,93807.7500699585,65564.24736851633
0,ANG,1388,309998.4258185838,122858.12060517576,94842.85314139385
0,ANN,1132,318846.98124649073,167044.2793547176,169553.76410385326
0,AFV,1394,332332.429236149,155659.66214829436,152367.58574329037
0,ANL,880,339659.23583644826,176721.2047362706,202341.3718585864
0,APP,1186,359937.2500867339,167264.82377407313,156101.62090766386
0,APD,1256,351351.66650522663,128886.47425961461,96704.98920750615
