,Station CRS,Number,Max distance,Mean distance,Median distance
0,ABA,2422,581074.5784320632,213071.16628515156,214041.72624686715
0,AUR,2375,634204.4812653093,379149.9786299658,393853.7222116861
0,AVY,2579,569499.3971287415,250214.22027427077,266068.62517027446
0,ABE,2423,598574.1672508095,224065.7553990643,216408.647562892
0,AGL,2619,589475.2653547052,239527.58292235425,275976.49085565243
0,ACY,2424,590044.3892216923,224822.02783063697,218848.11599342857
0,ABD,1694,701883.3430941355,371947.0885109082,387551.21991551
0,ABH,2572,499150.7876383648,263005.7582018466,288947.6250118696
0,AGV,2476,574546.7689405276,212208.261524951,199958.052463632
0,AYW,2581,584041.9515154712,252676.42961128143,263963.8099747765
0,ABW,2128,641483.647571004,171378.15033405335,157963.26864496063
0,ACB,2612,595344.5510794568,211362.90265992715,239922.44931560973
0,AAT,1399,770035.8233205777,442141.73315662454,479204.05284320156
0,ACH,1183,748996.0827908247,391460.5865793065,455507.7935063241
0,AUK,2169,562426.2099155764,326864.219719257,324518.7910549049
0,ACN,1399,772099.4090879749,443032.33243836934,479378.61756203126
0,ACK,2339,521186.8239479966,313152.7219957732,317992.4674914663
0,ACL,2383,692981.0981332752,268795.95265688846,234055.8226684395
0,ACG,2575,585874.3041412552,188839.3451624698,159709.55879094737
0,ACR,2099,543179.7620723732,200545.2416959162,238010.4189421127
0,ACC,2425,629937.168335065,187697.17466119232,169789.4742660047
0,AML,2443,628963.1583010248,187579.5505908526,169941.25868062212
0,ADD,2574,581722.4685131218,189020.06360730206,161812.6265159799
0,ADW,2367,620909.02365564,365479.56049121707,374987.7464664679
0,ADM,2071,669324.3819979966,225729.54935226857,207419.57544311
0,ADC,2382,593027.2121918184,196177.339116508,218139.82167408132
0,ASN,2408,724537.4587038271,181634.74666331516,165808.45305653146
0,ADL,2115,556935.908543344,200608.79951918926,228674.6849573103
0,AWK,2588,577208.371084481,215275.38882471184,236648.57048672967
0,AUG,2229,561919.3635433825,206553.90373734414,229078.5570497597
0,AIG,2235,582850.3567812239,203302.32136738164,214375.03565402207
0,ANS,2227,556048.6705469225,211365.88038939086,234759.76836971022
0,AIN,2229,570592.2857215999,206558.240541206,223722.15230845613
0,AIR,2172,595753.7853484441,340219.1425299897,340572.0837605455
0,ADR,1811,592379.6502244148,309707.3781414671,300853.5679405228
