,origin_crs,Count
0,AAP,193
1,ABW,182
2,ABY,167
3,ACB,203
4,ACC,201
5,ACG,203
6,ACK,190
7,ACL,195
8,ACR,170
9,ACT,199
10,ADC,187
11,ADD,203
12,ADK,167
13,ADL,172
14,ADM,177
15,ADV,204
16,AFK,176
17,AFS,204
18,AFV,172
19,AGT,178
20,AHD,180
21,AHN,191
22,AHS,178
23,AHT,204
24,AHV,204
25,AIG,180
26,AIN,180
27,ALB,203
28,ALD,180
29,ALF,201
30,ALK,203
31,ALM,190
32,ALN,176
33,ALP,200
34,ALR,203
35,ALT,165
36,ALV,203
37,ALW,194
38,AMB,203
39,AML,202
40,AMR,190
41,AMT,203
42,AMY,177
43,ANC,203
44,ANF,202
45,ANG,177
46,ANS,180
47,ANZ,181
48,AON,204
49,APB,177
50,APD,177
51,APF,203
52,APG,203
53,APN,142
54,APP,196
55,APS,202
56,APY,198
57,ARL,204
58,ARN,188
59,ARR,197
60,ARU,177
61,ASC,203
62,ASG,201
63,ASH,204
64,ASK,182
65,ASN,204
66,ASP,147
67,AST,203
68,ASY,164
69,ATB,203
70,ATH,203
71,ATL,195
72,ATN,178
73,AUD,203
74,AUG,180
75,AUW,203
76,AVF,198
77,AVN,203
78,AVP,203
79,AWK,201
80,AWM,204
81,AWT,185
82,AXM,188
83,AYH,177
84,AYL,177
85,AYP,182
86,AYS,203
87,BAA,177
88,BAB,178
89,BAC,203
90,BAD,182
91,BAG,204
92,BAH,180
93,BAK,195
94,BAL,184
95,BAM,200
96,BAN,203
97,BAR,172
98,BAS,154
99,BAT,177
100,BAU,200
101,BAV,200
102,BAW,203
103,BAY,185
104,BBK,203
105,BBL,178
106,BBN,170
107,BBS,203
108,BBW,199
109,BCB,178
110,BCC,197
111,BCE,204
112,BCF,202
113,BCH,177
114,BCJ,180
115,BCS,201
116,BCU,202
117,BCV,191
118,BCY,182
119,BDA,195
120,BDB,161
121,BDH,204
122,BDI,198
123,BDK,203
124,BDL,180
125,BDM,204
126,BDN,159
127,BDQ,197
128,BDS,4
129,BDT,196
130,BDW,203
131,BDY,159
132,BEB,196
133,BEC,181
134,BEE,203
135,BEF,178
136,BEG,177
137,BEH,203
138,BEM,196
139,BEN,188
140,BEP,203
141,BER,203
142,BES,180
143,BET,191
144,BEU,202
145,BEV,197
146,BEX,177
147,BEY,198
148,BFD,190
149,BFE,154
150,BFN,203
151,BFR,204
152,BGA,195
153,BGE,180
154,BGG,198
155,BGH,199
156,BGL,144
157,BGM,181
158,BHI,203
159,BHK,187
160,BHM,203
161,BHO,199
162,BHS,199
163,BIA,195
164,BIC,177
165,BID,180
166,BIF,182
167,BIG,177
168,BIK,181
169,BIL,194
170,BIN,203
171,BIP,177
172,BIS,187
173,BIT,203
174,BIW,204
175,BIY,197
176,BKA,180
177,BKC,180
178,BKD,203
179,BKG,196
180,BKH,182
181,BKJ,181
182,BKL,181
183,BKM,202
184,BKN,180
185,BKO,204
186,BKP,180
187,BKQ,180
188,BKS,177
189,BKT,203
190,BKW,203
191,BLB,176
192,BLD,198
193,BLE,198
194,BLK,165
195,BLL,191
196,BLM,182
197,BLN,180
198,BLO,193
199,BLP,203
200,BLV,167
201,BLW,203
202,BLX,203
203,BLY,203
204,BMB,172
205,BMC,165
206,BMD,186
207,BME,203
208,BMF,198
209,BMG,177
210,BMH,201
211,BML,167
212,BMN,181
213,BMO,203
214,BMP,185
215,BMR,196
216,BMS,181
217,BMT,203
218,BMV,203
219,BMY,204
220,BNA,167
221,BNC,194
222,BND,195
223,BNE,203
224,BNH,182
225,BNI,195
226,BNM,203
227,BNP,177
228,BNR,191
229,BNS,195
230,BNT,159
231,BNW,180
232,BNY,200
