,Station CRS,Number,Max distance,Mean distance,Median distance
0,ABA,1967,340744.51313557493,188179.35911752906,205790.04816802975
0,AUR,1140,430219.0565955906,213874.09075461762,260585.56125734706
0,AVY,2323,403192.85215886455,236579.31366028104,249825.29865688144
0,ABE,1968,344863.1295528706,188081.07698213423,205890.6699492882
0,AGL,2453,411927.8952838713,230358.24218982083,261650.3029459738
0,ACY,1969,337958.0154945286,189882.4206290916,208085.5499476117
0,ABD,967,529396.854328584,265031.6280138775,212281.07002980742
0,ABH,2083,437413.6459919832,246411.87191540134,249472.62998471677
0,AGV,2161,347241.28557675856,182564.67337804698,192098.90294585234
0,AYW,2235,400285.5556124902,234956.51154645477,243874.19810221827
0,ABW,1733,381221.72380518925,124156.77781286796,92531.42759838329
0,ACB,2122,486761.1597077154,188207.41434153353,198262.63440194677
0,AAT,787,524537.0886877305,311783.4291865615,256703.92132766495
0,ACH,716,504225.3434725391,295361.179274126,214736.47351664212
0,AUK,1457,517201.65805225336,243446.76477189813,251851.9471832608
0,ACN,787,524777.9483648299,312294.4444133572,258920.53695294238
0,ACK,1240,382834.72465281934,207419.7838577252,204448.90963025458
0,ACL,1898,475009.73674231145,218217.0784279518,208475.33810981095
0,ACG,2427,536315.8118124059,175684.80255916977,156772.71509474
0,ACR,1932,543179.7620723732,193083.07520436513,210779.07510946147
0,ACC,1642,288692.314151243,106221.84186878827,87424.21095440324
0,AML,1774,357413.84206546895,118674.92747545555,98841.357623471
0,ADD,2426,531884.6556350352,176012.71898886212,158781.9325773559
0,ADW,1219,415404.16623452393,214290.9243190485,255188.2435085911
0,ADM,1512,459304.8872557313,165367.58586195696,125510.25732860263
0,ADC,1824,514647.1970680497,173744.2765287655,165941.75484187214
0,ASN,2103,424224.36805303866,148101.9337842514,141309.56898763793
0,ADL,1948,556935.908543344,193559.50665013737,212238.67846488446
0,AWK,2355,402300.2222843035,199593.70012328727,228976.83377314292
0,AUG,1926,510148.0354759783,191476.24236174198,201502.817412065
0,AIG,1914,530998.1083064233,188829.6469891587,190561.89986880356
0,ANS,1883,504069.90074988606,192806.24511847965,196762.14576271985
0,AIN,1908,518716.6396502044,191026.4498820254,196499.16186258907
0,AIR,1421,540523.2373589502,247069.20153806475,273238.6059417666
0,ADR,1216,540102.0736157194,225332.94943527135,265153.520731358
0,APN,796,410861.3796647234,205255.9365642038,191822.7735828048
0,AYP,1731,384951.6445282446,125940.70447193869,92224.0029764486
0,ALB,2431,508322.5893072233,183434.33220361068,182231.39911936142
0,ALD,1888,471299.6245044123,177842.06794656152,177797.80273670427
0,AMT,2303,574362.385193355,178241.69374700033,145720.43928358163
0,AHT,2155,430725.2149944324,158477.34302323192,147958.48148773808
0,AGT,1738,410355.4447207932,156395.15713139283,122166.557527009
0,LPY,2006,531963.9922372566,192882.27510270622,196982.5195137207
0,AAP,1740,360681.8856346961,118060.68184480509,97408.7056119729
0,ALF,2311,484073.42418273696,179742.06143111826,190427.2814619796
0,ALW,1372,411041.2043056024,184441.1646219892,182235.83304333975
0,ALO,1076,397431.8195929963,214975.41618352302,271969.41642455227
0,ASS,819,521367.8306148165,316420.8668835935,322860.27953280346
0,ALM,1242,373986.53535254445,212710.08051332447,210747.60455340886
0,ALR,1983,436607.35020152834,184240.013262856,176444.27191556775
0,ASG,1958,490369.8859024685,177074.53048390153,177415.40901709825
0,AYH,1512,460747.0325167597,166466.05015318186,126979.83127853178
0,ALN,1724,409523.9255733418,150674.6623602276,115276.12261169922
0,ABC,569,556572.7916454414,310521.18833514454,284626.02069782466
0,AON,2077,436336.6381980775,160457.80797687062,147496.9908981197
0,ALP,2245,382213.89917819574,203020.35671341413,221299.27352225024
0,ALT,1896,532798.9276002721,182748.2780133992,180606.5516512485
0,ALV,2393,534908.218015016,175067.72180209146,158074.80889965588
0,ALX,1357,576348.1603093741,268760.58410787804,303200.0277605528
0,AXP,1423,554220.3541417439,255576.86328028498,285740.7387353088
0,AMB,2268,438556.5869987589,174748.90178122828,187140.5103017516
0,AMR,2144,593680.8829539655,176296.7444583118,143209.9678688603
0,AMY,1725,387685.8145044773,147172.4796752365,120888.55600917012
0,AMF,1248,329380.501889532,182267.90522175687,191387.44469966096
0,ANC,2166,392922.5387083312,169800.08087476934,168812.91510130378
0,ADV,2062,493719.1299402931,162509.69192022498,140760.47624370316
0,AND,1423,555475.0084495251,256707.33862314478,286327.2142147861
0,ANZ,1769,375566.80900340487,124378.39914912207,97465.79925799613
0,ANG,1664,396644.1493454807,149472.20485241286,118693.30286713703
0,ANN,1567,484288.67698718706,218669.3871625968,191625.59849873921
0,AFV,1952,540733.2706261008,202250.94048223403,221281.73455574684
0,ANL,1388,556822.8218670639,257449.18986242762,289164.7293308781
0,APP,1535,387258.9021003907,194396.3455114858,179262.01214981382
0,APD,1525,450200.4490846272,155878.00243914968,114536.99217283471
0,APY,2117,405306.7838958534,197366.8118194752,243513.0115064868
0,APB,1909,560075.5790292949,190334.31935882647,204790.2005003021
0,APF,2360,579704.7615536723,176920.88378559734,141702.5552530683
0,APS,1653,274905.49205317814,109248.90996194126,102042.32456987041
0,ARB,1029,447891.5091849811,244558.38728651364,262861.228217476
0,ART,1238,591256.9574254496,273903.64299438987,321266.90911697596
0,ARD,716,524884.1514620155,316359.49265004776,238259.4329829323
0,AUI,1238,600724.4154385603,281326.36990384234,329624.2467335273
0,ADS,1309,541007.63484816,251861.19406083986,275383.54183574585
0,ASB,1313,540457.8380687989,251186.51992810296,274813.560687969
0,ADN,1313,540698.1659891219,251539.20456996933,275061.23535314825
0,ADK,1901,524934.169763219,183519.87727306294,182324.39782740417
0,AGS,1423,554677.2093677548,256072.2173233359,285791.26876096125
0,ARG,818,504266.3918257888,286473.60382570885,293030.6524068771
0,ARL,2051,348641.96491529816,142773.24825219673,130134.25333703638
