,Station CRS,Number,Max distance,Mean distance,Median distance
0,ABA,257,182421.77033457384,54785.96704609049,41629.68291976291
0,AUR,337,176819.9681314302,68636.29999669452,65426.002643957545
0,AVY,153,160577.03104740728,108786.1264598062,126051.55929221978
0,ABE,258,164673.6570675468,55885.96903119783,47351.5382147623
0,AGL,558,166658.77966671903,90480.78476301041,89403.37748094308
0,ACY,259,172882.42410378216,56880.48855418629,51053.58882586023
0,ABD,128,239382.27189998844,134223.15722575205,147226.29334802937
0,ABH,130,189684.39135838248,121565.68913656451,150239.0465024789
0,AGV,463,190291.1258887287,88745.57075560334,97738.69499844982
0,AYW,174,162000.33611076244,113359.03449961105,121438.099449712
0,ABW,923,141828.6960033124,44847.80737504558,36799.13557868006
0,ACB,768,230949.0030288072,82155.77708656002,81008.9947228084
0,AAT,80,234621.41345154325,90365.87715674292,77766.39459946693
0,ACH,68,224122.13586569266,91363.18456392322,89412.02212230746
0,AUK,327,226958.61660223434,69222.76523281688,50922.70982216502
0,ACN,80,232241.8289735938,95498.14284985933,86518.30424251275
0,ACK,181,161841.3470037864,104124.25268002378,109230.86972097219
0,ACL,128,145870.56784697864,79046.49375308241,85947.59018702697
0,ACG,607,198516.346742529,92752.49901942353,104191.84229103543
0,ACR,562,154890.89264705012,59557.097899421,53580.11417831635
0,ACC,942,145855.92307822127,44370.253720885106,34846.56337344361
0,AML,955,145042.26693278068,45510.73604866472,35670.85154576493
0,ADD,606,194597.05060457622,91280.18620151664,102394.69226008953
0,ADW,332,194041.64424164212,57214.868755828684,45602.401046258645
0,ADM,751,266036.27143117157,96384.63225725997,95676.7885196165
0,ADC,713,162198.73396546594,65354.75968013031,62921.835768139295
0,ASN,960,165247.15397246636,50641.18020416407,41051.92821293538
0,ADL,570,165577.9179872727,59096.39497589255,50712.06784385744
0,AWK,561,141012.0996581499,74489.32841546812,72538.26941001556
0,AUG,646,170832.75629983848,72552.44977114348,67160.80033777043
0,AIG,657,163381.2718765526,70802.28968822044,67243.09069825409
0,ANS,638,170902.10882841673,77210.24729102159,69382.81038557028
0,AIN,651,164022.65308487118,72781.79440098774,69062.6906607179
0,AIR,345,243469.51225358792,55158.11806409291,41275.69686849852
0,ADR,320,143197.9448176544,42616.753616992086,32819.81109025462
0,APN,81,135245.61216542294,62023.98997601761,61189.820959045144
0,AYP,921,147923.07991655663,45023.46628496306,37104.77684881018
0,ALB,642,180058.1461639545,86714.21259276914,91111.573359261
0,ALD,720,226115.3543172157,71738.92790885543,64113.707489116554
0,AMT,917,187916.43628219434,80084.94264232785,74742.27351372181
0,AHT,940,149105.39705859075,61778.44252335988,57207.61244799507
0,AGT,875,162394.35129338704,74974.27975515151,74447.42878132674
0,LPY,656,160988.06018459878,69738.33343927172,65964.21620219383
0,AAP,939,142570.86622799202,45800.066461501105,37242.58966564416
0,ALF,516,180311.8742623458,74360.41776110805,73346.70076128203
0,ALW,137,145109.87661079448,64508.67636081922,61304.02919856106
0,ALO,322,173737.47271386217,55084.74547849168,45998.158680792054
0,ASS,85,244348.7662031466,83527.91393735976,77904.01474496689
0,ALM,183,169602.31904369703,108285.81241244882,109933.0629292207
0,ALR,720,130433.5610569611,82553.86222355162,84447.3109400175
